ResponseId,ticket,Durationinseconds,Progress
R_2y7P4HbNVP78ZRH,66859f75a79acfcc_861b49d1857524a8_cc430c747a15dd31_8bc71fc3f37cbdbd32c817b43200becd,3453,100
R_BzZzLGPqnc8ytKF,a92cc7733b7b3a70_861b49d1857524a8_cc430c747a15dd31_5caa9a10e170353a4abdd1ae60878887,3505,100
R_2awNQ6lhMVGWgK2,398f92589b2ccb08_861b49d1857524a8_cc430c747a15dd31_0c635433b5b2cff800bded1787f7d992,2674,100
R_3r2p9tvTCoAmXIn,dc174b4927aa5510_861b49d1857524a8_cc430c747a15dd31_30012fb9dc59a5492d151fefb1a9b8ce,2919,100
R_9pqfPqdg9U4ZPJD,79025314641b87a3_861b49d1857524a8_cc430c747a15dd31_9eb13542828522d552a032f9b571aa4e,3731,100
R_sng4IIas2mXDVT3,3222d17a3dc65190_861b49d1857524a8_cc430c747a15dd31_8a1e3f07c6fa561800503248d9640f1d,2368,100
R_25LpEGvRwaSKO1m,a13991a942387124_861b49d1857524a8_cc430c747a15dd31_0d9a8d93aaa8839a1e0c7f6946b43ca2,3449,100
R_3s601QOh99Ob2Yq,45fd1c01204fdf19_861b49d1857524a8_cc430c747a15dd31_315d8a7aac1c4c7e8861ebfe9e269704,3528,100
R_11araaiKoz7CPpe,643fd4076862d703_861b49d1857524a8_cc430c747a15dd31_f0e720ff9b9f0a6da39914b993404714,4158,100
R_3qdEUwcDoKRC3nV,bcb83adb8a03fbb2_861b49d1857524a8_cc430c747a15dd31_37ca06f504dcc6d4e7657cc01270c05a,4501,100
R_2s7oIFXfenpBZrR,9c095ccf81957bfb_861b49d1857524a8_cc430c747a15dd31_942ce5aee20c29be5d7e5dc3ea5d0823,4129,100
R_3O2HQue1dcY0fGC,142dd472d921d41d_861b49d1857524a8_cc430c747a15dd31_8b99dac285d7953f7bdefd8a54b7c289,3606,100
R_1SWc8brG44Tvugx,28625ff8908183d7_861b49d1857524a8_cc430c747a15dd31_e7f531c56774a4d0b49f8302537ffeeb,3523,100
R_1PTxgFyvyTQIi3g,73a3196a7171b558_861b49d1857524a8_cc430c747a15dd31_0c0b96882e956b7838ef6848956ebc26,4002,100
R_3sn7fqIPLItTIrN,3f47391ff399ffb4_861b49d1857524a8_cc430c747a15dd31_c360050069773207fd72bd38ccfdbeb9,4471,100
R_2aqUuVvT2cuIf3Z,84818100d824857c_861b49d1857524a8_cc430c747a15dd31_abfc1a55ab427ed466d60aaa5d0a7da8,4798,100
R_1kXH2Z3FiQwjCpo,341b18092f1d5789_861b49d1857524a8_cc430c747a15dd31_2065feeccb3b22e21be89582ffa7a926,4872,100
R_u7KqWEfKaWQhI3f,d47a63594bca25cd_861b49d1857524a8_cc430c747a15dd31_152273b8a12f1b0521b162f46145b6cc,4882,100
R_Qgh3w1nyBAIXzWN,d114136371b2abc8_861b49d1857524a8_cc430c747a15dd31_4b150b34ac47d3e1819bab4c508f8edd,1951,100
R_25yFqurc0jrc7nh,110823a33aa09b8a_861b49d1857524a8_cc430c747a15dd31_3a6a8a77c154b98fcce69bb622767af9,3690,100
R_BJ8C8jEYV0P7iVz,d545abf834b10b02_861b49d1857524a8_cc430c747a15dd31_158e4b0c551fb7194ce07d4aef73da16,2684,100
R_71YYcYqxBqZ6YP7,7c16f6a282bc4ddc_861b49d1857524a8_cc430c747a15dd31_efbb3e3eec40f3af1e7e08ee64094483,4909,100
R_RxJ9BoHF7AGUNoZ,b0d54bf9867f25c0_861b49d1857524a8_cc430c747a15dd31_4c816c36dea08119c54cc515ea5b1adc,3479,100
R_2CTesOSgLhlGalz,56fd4c11695fbbb4_861b49d1857524a8_cc430c747a15dd31_b629afa9ce1b4a16927d5932022cb8d2,3860,100
R_2ahLgvUFJL9L3Df,9b88b99c562d3271_861b49d1857524a8_cc430c747a15dd31_997d50f49732a3376fb8ebbd4c400d98,3112,100
R_3ESZoj2kFzTbXM1,0a1d8f42066c2281_861b49d1857524a8_cc430c747a15dd31_58a77d59e2b0a138c356b2252cd1a53e,4123,100
R_b2fAOMwGBvivxTj,6b65a5336baa37c7_861b49d1857524a8_cc430c747a15dd31_a9fa8e053792409cb9f9405ca7f7bfaf,4604,100
R_2D2cqPaXrMEKojH,a90d96cc5467314a_861b49d1857524a8_cc430c747a15dd31_a5fe9ede94a3f69016ea022f29c5370a,4517,100
R_5psCr4n20kO9PKF,a5912498db6fbf32_861b49d1857524a8_cc430c747a15dd31_6b2f1e9981fa60391b26d5ed36e747f6,5242,100
R_25FnbXBMICVnVOa,1b39d5759a31b300_861b49d1857524a8_cc430c747a15dd31_b130d79c11d6474c5a5b78daf4888afd,2961,100
R_1ImAqBGgXqILkd5,3710323d65753bfb_861b49d1857524a8_cc430c747a15dd31_f14946b4c2df303d801ede9db696c35c,4142,100
R_1jJlu9PxK7x8rOm,7c68df2988b16664_861b49d1857524a8_cc430c747a15dd31_266e9f5771b9f97a5ec1d434ccf2febf,2563,100
R_2qkLqrwX4eyZkAX,c4a70ff06088f2b4_861b49d1857524a8_cc430c747a15dd31_efa112da0010e513268474502fb77fc0,4282,100
R_2aFsXvo0P0JUFjJ,3d4fcdbdf6719816_861b49d1857524a8_cc430c747a15dd31_9aa6ac2bf8026d02bd999f378120b73f,5691,100
